U xi T_e I1 I2 I3 I4 I5 I6 I7 I8 I9 I10 I11 I12 I13 I14 I15 I16 I17 I18 I19 I20 I21 I22 I23 I24 I25 I26 I27
7.818986e-03 6.914912e-01 1.000000e+04 2.45e-03 2.99e-03 4.34e-03 1.26e-02 6.26e-02 2.87e-01 5.59e-01 6.93e-02 3.89e-04 2.66e-06 6.60e-09 7.25e-12 2.94e-15 1.16e-18 8.93e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.204066e-02 1.064846e+00 1.000000e+04 2.14e-03 2.60e-03 3.76e-03 1.00e-02 3.87e-02 2.12e-01 6.13e-01 1.16e-01 1.00e-03 1.05e-05 4.02e-08 6.78e-11 4.22e-14 2.56e-17 3.02e-20 8.72e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.854174e-02 1.639784e+00 1.000000e+04 1.91e-03 2.32e-03 3.34e-03 8.58e-03 2.60e-02 1.49e-01 6.25e-01 1.81e-01 2.40e-03 3.88e-05 2.27e-07 5.89e-10 5.64e-13 5.26e-16 9.54e-19 4.23e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
2.855291e-02 2.525147e+00 1.000000e+04 1.74e-03 2.12e-03 3.05e-03 7.69e-03 1.95e-02 1.01e-01 5.96e-01 2.64e-01 5.36e-03 1.33e-04 1.20e-06 4.77e-09 7.02e-12 1.01e-14 2.81e-17 1.91e-19 6.01e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
4.396939e-02 3.888541e+00 1.000000e+04 1.63e-03 1.98e-03 2.84e-03 7.11e-03 1.62e-02 6.82e-02 5.33e-01 3.57e-01 1.12e-02 4.25e-04 5.88e-06 3.61e-08 8.17e-11 1.80e-13 7.73e-16 8.10e-18 3.91e-20 2.93e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
6.770963e-02 5.988067e+00 1.000000e+04 1.55e-03 1.88e-03 2.70e-03 6.72e-03 1.46e-02 4.75e-02 4.49e-01 4.53e-01 2.17e-02 1.27e-03 2.70e-05 2.55e-07 8.88e-10 3.01e-12 1.98e-14 3.20e-16 2.38e-18 2.74e-20 1.54e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.042679e-01 9.221183e+00 1.000000e+04 1.49e-03 1.81e-03 2.60e-03 6.46e-03 1.37e-02 3.53e-02 3.58e-01 5.37e-01 3.95e-02 3.54e-03 1.16e-04 1.68e-06 8.99e-09 4.69e-11 4.75e-13 1.18e-14 1.35e-16 2.39e-18 2.07e-20 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.605648e-01 1.419994e+01 1.000000e+04 1.45e-03 1.76e-03 2.53e-03 6.27e-03 1.31e-02 2.85e-02 2.73e-01 5.97e-01 6.70e-02 9.20e-03 4.62e-04 1.03e-05 8.48e-08 6.80e-10 1.06e-11 4.04e-13 7.11e-15 1.94e-16 2.59e-18 5.61e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
2.472581e-01 2.186687e+01 1.000000e+04 1.42e-03 1.72e-03 2.46e-03 6.11e-03 1.27e-02 2.48e-02 2.01e-01 6.20e-01 1.06e-01 2.22e-02 1.71e-03 5.84e-05 7.40e-07 9.13e-09 2.17e-10 1.28e-11 3.46e-13 1.45e-14 2.98e-16 9.97e-19 2.25e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
3.807592e-01 3.367337e+01 1.000000e+04 1.38e-03 1.68e-03 2.40e-03 5.96e-03 1.24e-02 2.27e-02 1.45e-01 5.99e-01 1.55e-01 4.91e-02 5.77e-03 3.03e-04 5.90e-06 1.12e-07 4.07e-09 3.68e-10 1.54e-11 9.91e-13 3.13e-14 1.61e-16 5.61e-19 4.71e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
5.863412e-01 5.185452e+01 1.000000e+04 1.34e-03 1.63e-03 2.34e-03 5.79e-03 1.20e-02 2.14e-02 1.04e-01 5.32e-01 2.04e-01 9.71e-02 1.74e-02 1.40e-03 4.19e-05 1.22e-06 6.74e-08 9.39e-09 6.02e-10 5.98e-11 2.91e-12 2.30e-14 1.24e-16 1.60e-19 6.95e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23
9.029224e-01 7.985215e+01 1.000000e+04 1.29e-03 1.57e-03 2.25e-03 5.57e-03 1.15e-02 2.03e-02 7.64e-02 4.28e-01 2.36e-01 1.66e-01 4.52e-02 5.54e-03 2.54e-04 1.13e-05 9.47e-07 2.03e-07 2.00e-08 3.06e-09 2.29e-10 2.79e-12 2.30e-14 4.58e-17 3.07e-19 2.75e-21 2.36e-22 3.09e-23 3.09e-23
1.390434e+00 1.229664e+02 1.000000e+04 1.24e-03 1.50e-03 2.15e-03 5.33e-03 1.10e-02 1.93e-02 5.96e-02 3.13e-01 2.35e-01 2.37e-01 9.64e-02 1.80e-02 1.26e-03 8.50e-05 1.08e-05 3.54e-06 5.36e-07 1.26e-07 1.45e-08 2.72e-10 3.46e-12 1.06e-14 1.09e-16 1.51e-18 1.32e-19 1.07e-22 3.09e-23
2.141167e+00 1.893593e+02 1.000000e+04 1.18e-03 1.43e-03 2.05e-03 5.08e-03 1.05e-02 1.83e-02 5.02e-02 2.18e-01 2.01e-01 2.75e-01 1.65e-01 4.63e-02 4.93e-03 5.05e-04 9.49e-05 4.79e-05 1.11e-05 4.02e-06 7.12e-07 2.06e-08 4.02e-10 1.90e-12 3.01e-14 6.39e-16 5.80e-17 7.25e-20 3.56e-23
3.297239e+00 2.915994e+02 1.000000e+04 1.12e-03 1.37e-03 1.96e-03 4.84e-03 1.00e-02 1.74e-02 4.49e-02 1.57e-01 1.56e-01 2.65e-01 2.27e-01 9.45e-02 1.52e-02 2.33e-03 6.39e-04 4.94e-04 1.75e-04 9.71e-05 2.65e-05 1.18e-06 3.54e-08 2.57e-10 6.28e-12 2.05e-13 1.95e-14 3.76e-17 2.84e-20
5.077506e+00 4.490417e+02 1.000000e+04 1.07e-03 1.30e-03 1.86e-03 4.60e-03 9.52e-03 1.65e-02 4.14e-02 1.24e-01 1.18e-01 2.19e-01 2.53e-01 1.53e-01 3.67e-02 8.28e-03 3.23e-03 3.78e-03 2.03e-03 1.72e-03 7.21e-04 4.93e-05 2.28e-06 2.55e-08 9.62e-10 4.83e-11 4.93e-12 1.46e-14 1.70e-17
7.818986e+00 6.914912e+02 1.000000e+04 9.61e-04 1.17e-03 1.67e-03 4.14e-03 8.56e-03 1.49e-02 3.67e-02 9.98e-02 8.84e-02 1.59e-01 2.26e-01 1.90e-01 6.62e-02 2.13e-02 1.14e-02 1.97e-02 1.57e-02 2.03e-02 1.30e-02 1.37e-03 9.74e-05 1.68e-06 9.72e-08 7.52e-09 8.45e-10 3.86e-12 6.93e-15
1.204066e+01 1.064846e+03 1.000000e+04 6.53e-04 7.94e-04 1.14e-03 2.81e-03 5.82e-03 1.01e-02 2.48e-02 6.40e-02 5.39e-02 8.65e-02 1.35e-01 1.47e-01 7.14e-02 3.14e-02 2.15e-02 5.05e-02 5.65e-02 1.10e-01 1.08e-01 1.74e-02 1.91e-03 5.05e-05 4.51e-06 5.37e-07 6.91e-08 4.85e-10 1.34e-12
1.854174e+01 1.639784e+03 1.000000e+04 3.01e-04 3.66e-04 5.24e-04 1.30e-03 2.68e-03 4.65e-03 1.14e-02 2.85e-02 2.35e-02 3.38e-02 5.19e-02 6.64e-02 4.23e-02 2.38e-02 1.90e-02 5.02e-02 6.86e-02 1.95e-01 2.91e-01 7.23e-02 1.22e-02 4.97e-04 6.83e-05 1.25e-05 1.92e-06 2.08e-08 8.84e-11
2.855291e+01 2.525147e+03 1.000000e+04 1.56e-04 1.89e-04 2.71e-04 6.70e-04 1.39e-03 2.41e-03 5.86e-03 1.45e-02 1.18e-02 1.58e-02 2.28e-02 3.12e-02 2.42e-02 1.64e-02 1.41e-02 3.44e-02 4.46e-02 1.74e-01 3.93e-01 1.50e-01 3.87e-02 2.43e-03 5.14e-04 1.45e-04 2.78e-05 4.64e-07 3.04e-09
4.396939e+01 3.888541e+03 1.000000e+04 1.05e-04 1.28e-04 1.84e-04 4.54e-04 9.40e-04 1.63e-03 3.96e-03 9.67e-03 7.84e-03 1.01e-02 1.38e-02 1.90e-02 1.69e-02 1.31e-02 1.19e-02 2.64e-02 2.50e-02 1.17e-01 3.91e-01 2.28e-01 9.03e-02 8.71e-03 2.84e-03 1.23e-03 3.09e-04 7.93e-06 8.00e-08
6.770963e+01 5.988067e+03 1.000000e+04 8.24e-05 1.00e-04 1.43e-04 3.55e-04 7.34e-04 1.27e-03 3.09e-03 7.50e-03 6.07e-03 7.68e-03 1.01e-02 1.36e-02 1.31e-02 1.12e-02 1.06e-02 2.30e-02 1.51e-02 6.69e-02 3.14e-01 2.78e-01 1.69e-01 2.50e-02 1.25e-02 8.39e-03 2.87e-03 1.13e-04 1.76e-06
