U I1 I2 I3 I4 I5 I6 I7 I8 I9 I10 I11 I12 I13 I14 I15 I16 I17 I18 I19 I20 I21 I22 I23 I24 I25 I26 I27
-6.0 5.06e-02 7.19e-01 2.17e-01 1.24e-02 4.67e-04 4.41e-05 2.42e-06 9.86e-08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.9 4.78e-02 6.96e-01 2.40e-01 1.55e-02 5.82e-04 5.47e-05 2.81e-06 1.13e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.8 4.48e-02 6.69e-01 2.66e-01 1.94e-02 7.33e-04 6.83e-05 3.28e-06 1.30e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.7 4.17e-02 6.40e-01 2.93e-01 2.42e-02 9.31e-04 8.61e-05 3.84e-06 1.50e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.6 3.84e-02 6.09e-01 3.21e-01 3.02e-02 1.19e-03 1.09e-04 4.53e-06 1.74e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.5 3.50e-02 5.75e-01 3.51e-01 3.78e-02 1.55e-03 1.40e-04 5.37e-06 2.03e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.4 3.16e-02 5.38e-01 3.81e-01 4.72e-02 2.02e-03 1.81e-04 6.41e-06 2.38e-07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.3 2.80e-02 4.99e-01 4.12e-01 5.89e-02 2.66e-03 2.35e-04 7.71e-06 2.81e-07 1.60e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.2 2.45e-02 4.57e-01 4.41e-01 7.33e-02 3.54e-03 3.09e-04 9.38e-06 3.35e-07 1.83e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.1 2.10e-02 4.14e-01 4.69e-01 9.09e-02 4.75e-03 4.10e-04 1.16e-05 4.03e-07 2.10e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-5.0 1.77e-02 3.69e-01 4.94e-01 1.12e-01 6.41e-03 5.50e-04 1.44e-05 4.92e-07 2.45e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-4.9 1.45e-02 3.24e-01 5.14e-01 1.38e-01 8.71e-03 7.44e-04 1.83e-05 6.10e-07 2.89e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-4.8 1.16e-02 2.80e-01 5.28e-01 1.68e-01 1.19e-02 1.02e-03 2.38e-05 7.73e-07 3.49e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-4.7 8.98e-03 2.37e-01 5.34e-01 2.02e-01 1.62e-02 1.40e-03 3.16e-05 1.00e-06 4.32e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-4.6 6.75e-03 1.96e-01 5.32e-01 2.42e-01 2.22e-02 1.94e-03 4.31e-05 1.34e-06 5.52e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-4.5 4.90e-03 1.58e-01 5.19e-01 2.84e-01 3.03e-02 2.72e-03 6.04e-05 1.83e-06 7.33e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-4.4 3.43e-03 1.25e-01 4.97e-01 3.30e-01 4.11e-02 3.83e-03 8.71e-05 2.59e-06 1.02e-08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-4.3 2.31e-03 9.60e-02 4.65e-01 3.76e-01 5.54e-02 5.43e-03 1.29e-04 3.78e-06 1.47e-08 1.57e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-4.2 1.50e-03 7.17e-02 4.25e-01 4.20e-01 7.39e-02 7.71e-03 1.97e-04 5.67e-06 2.22e-08 2.26e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-4.1 9.35e-04 5.20e-02 3.79e-01 4.59e-01 9.72e-02 1.10e-02 3.07e-04 8.73e-06 3.48e-08 3.33e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
-4.0 5.60e-04 3.67e-02 3.29e-01 4.91e-01 1.26e-01 1.56e-02 4.86e-04 1.37e-05 5.64e-08 5.01e-09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
