U I1 I2 I3 I4 I5 I6 I7 I8 I9
2.8 0.00e+00 9.63e-32 8.26e-25 5.94e-19 2.54e-14 7.08e-10 7.45e-06 5.69e-03 9.94e-01
2.9 0.00e+00 1.92e-32 2.08e-25 1.88e-19 1.01e-14 3.55e-10 4.71e-06 4.53e-03 9.95e-01
3.0 0.00e+00 3.84e-33 5.22e-26 5.95e-20 4.03e-15 1.78e-10 2.97e-06 3.60e-03 9.96e-01
3.1 0.00e+00 0.00e+00 1.31e-26 1.88e-20 1.61e-15 8.94e-11 1.88e-06 2.86e-03 9.97e-01
3.2 0.00e+00 0.00e+00 3.30e-27 5.95e-21 6.40e-16 4.48e-11 1.18e-06 2.27e-03 9.98e-01
3.3 0.00e+00 0.00e+00 8.29e-28 1.88e-21 2.55e-16 2.25e-11 7.48e-07 1.81e-03 9.98e-01
3.4 0.00e+00 0.00e+00 2.08e-28 5.96e-22 1.01e-16 1.13e-11 4.72e-07 1.44e-03 9.99e-01
3.5 0.00e+00 0.00e+00 5.23e-29 1.88e-22 4.04e-17 5.64e-12 2.98e-07 1.14e-03 9.99e-01
3.6 0.00e+00 0.00e+00 1.31e-29 5.96e-23 1.61e-17 2.83e-12 1.88e-07 9.06e-04 9.99e-01
3.7 0.00e+00 0.00e+00 3.30e-30 1.88e-23 6.40e-18 1.42e-12 1.19e-07 7.20e-04 9.99e-01
3.8 0.00e+00 0.00e+00 8.29e-31 5.96e-24 2.55e-18 7.10e-13 7.48e-08 5.72e-04 9.99e-01
3.9 0.00e+00 0.00e+00 2.08e-31 1.88e-24 1.01e-18 3.56e-13 4.72e-08 4.54e-04 1.00e+00
4.0 0.00e+00 0.00e+00 5.23e-32 5.95e-25 4.04e-19 1.78e-13 2.98e-08 3.61e-04 1.00e+00
4.1 0.00e+00 0.00e+00 1.31e-32 1.88e-25 1.61e-19 8.94e-14 1.88e-08 2.87e-04 1.00e+00
4.2 0.00e+00 0.00e+00 3.30e-33 5.95e-26 6.40e-20 4.48e-14 1.18e-08 2.28e-04 1.00e+00
4.3 0.00e+00 0.00e+00 0.00e+00 1.88e-26 2.55e-20 2.24e-14 7.47e-09 1.81e-04 1.00e+00
4.4 0.00e+00 0.00e+00 0.00e+00 5.95e-27 1.01e-20 1.12e-14 4.71e-09 1.44e-04 1.00e+00
4.5 0.00e+00 0.00e+00 0.00e+00 1.88e-27 4.03e-21 5.64e-15 2.97e-09 1.14e-04 1.00e+00
4.6 0.00e+00 0.00e+00 0.00e+00 5.95e-28 1.61e-21 2.83e-15 1.88e-09 9.07e-05 1.00e+00
4.7 0.00e+00 0.00e+00 0.00e+00 1.88e-28 6.39e-22 1.42e-15 1.18e-09 7.21e-05 1.00e+00
4.8 0.00e+00 0.00e+00 0.00e+00 5.95e-29 2.55e-22 7.10e-16 7.47e-10 5.72e-05 1.00e+00
4.9 0.00e+00 0.00e+00 0.00e+00 1.88e-29 1.01e-22 3.56e-16 4.71e-10 4.55e-05 1.00e+00
5.0 0.00e+00 0.00e+00 0.00e+00 5.95e-30 4.03e-23 1.78e-16 2.97e-10 3.61e-05 1.00e+00
